1958,0.93,1.58
1959,0.87,1.49
1960,0.91,1.59
1961,1.05,1.87
1962,1.06,1.91
1963,1.15,2.1
1964,1.24,2.31
1965,1.27,2.39
1966,1.45,2.77
1967,1.61,3.09
1968,1.62,3.18
1973,2.04,4.19
1975,2.29,4.78
1976,2.36,4.97
1978,2.37,5.19
1979,2.49,5.47
1980,2.54,5.53
1981,2.51,5.65
1982,2.52,5.73
1983,2.45,5.61
1984,2.59,6
1985,2.62,6.13
1986,2.78,6.56
1987,2.77,6.61
1988,2.56, 6.16
1989,2.66, 6.47
1990,2.52, 6.21
1991,2.90, 7.21
1992,2.93, 7.37
1993,3.06, 7.78
1994,2.98, 7.74
1995,3.30, 8.66
1996,2.89, 7.63
1997,3.80, 10.11
1998,3.90, 10.48
1999,4.00, 10.87
2000,4.40, 12.05
2001,4.75, 13.11
2002,4.84, 13.49
2003,4.93, 14.10
2004,5.29, 15.24
2005,5.61, 16.32
2006,5.90, 17.32
2007,5.86, 17.40
2008,6.29,18.81
2009,6.86,20.67
2010,6.95, 21.13
2011,6.78, 20.74
2012,6.96, 21.47
2013,7.18, 22.30
2014,7.02, 21.95
2015,7.40, 23.35
